game_name,game_code,type,cost_price,tax,sale_price
Dead Horde,pc,2,9.17,0.09,9.99
Guild Wars Trilogy,pc,1,27.51,0.09,29.99
Dark Sector,pc,2,9.17,0.09,9.99
Iron Grip: Warlord,pc,2,0.0,0.09,0.0
Zombie Bowl-o-Rama,pc,2,9.17,0.09,9.99
Metal Drift,pc,2,9.17,0.09,9.99
Delta Force Xtreme 2,pc,2,18.34,0.09,19.99
Delta Force 2,pc,2,4.58,0.09,4.99
Delta Force: Xtreme,pc,2,18.34,0.09,19.99
Armored Fist 3,pc,2,9.17,0.09,9.99
F-22 Lightning 3,pc,2,9.17,0.09,9.99
Comanche 4,pc,2,9.17,0.09,9.99
Tachyon: The Fringe,pc,2,9.17,0.09,9.99
Driver San Francisco,pc,2,18.34,0.09,19.99
Time of Shadows,pc,2,9.17,0.09,9.99
Crash Time 3,pc,2,5.5,0.09,5.99
Ziro,pc,2,4.58,0.09,4.99
Arma 2,pc,2,11.92,0.09,12.99
Arma 2,pc,2,11.92,0.09,12.99
Crack Down(tm),pc,2,2.74,0.09,2.99
Gain Ground(tm),pc,2,2.74,0.09,2.99
Golden Axe(tm),pc,2,2.74,0.09,2.99
Altered Beast(tm),pc,2,2.74,0.09,2.99
Bonanza Bros.(tm),pc,2,2.74,0.09,2.99
Columns(tm),pc,2,2.74,0.09,2.99
Kid Chameleon(tm),pc,2,2.74,0.09,2.99
Sonic Spinball(tm),pc,2,4.58,0.09,4.99
Alien Storm,pc,2,2.74,0.09,2.99
Columns(tm) III,pc,2,2.74,0.09,2.99
Total War: SHOGUN 2,pc,2,22.93,0.09,24.99
Insane 2,pc,2,13.75,0.09,14.99
Forsaken World,pc,1,0.0,0.09,0.0
Angle of Attack,pc,2,9.17,0.09,9.99
All Aspect Warfare,pc,2,9.17,0.09,9.99
Magnetis,pc,2,1.83,0.09,1.99
Roogoo,pc,2,1.83,0.09,1.99
RIP - Trilogy(tm),pc,2,4.58,0.09,4.99
RIP - Trilogy(tm),pc,2,4.58,0.09,4.99
RACE - The WTCC Game,pc,2,36.69,0.09,39.99
Natural Selection 2,pc,2,9.17,0.09,9.99
Shank,pc,2,9.17,0.09,9.99
RACE On,pc,2,7.33,0.09,7.99
RAGE,pc,2,9.17,0.09,9.99
IL-2 Sturmovik: 1946,pc,2,9.17,0.09,9.99
DeathSpank,pc,2,13.75,0.09,14.99
BRINK,pc,2,7.33,0.09,7.99
BRINK,pc,2,7.33,0.09,7.99
Arma 2,pc,2,11.92,0.09,12.99
CrimeCraft: GangWars,pc,1,0.0,0.09,0.0
Moonbase Alpha,pc,2,0.0,0.09,0.0
RIFT,pc,1,0.0,0.09,0.0
Dungeon Siege III,pc,2,13.75,0.09,14.99
AquaNox,pc,2,4.58,0.09,4.99
Chaser,pc,2,4.58,0.09,4.99
Nation Red,pc,2,9.17,0.09,9.99
Supreme Commander 2,pc,2,11.92,0.09,12.99
Rush for Berlin Gold,pc,2,4.58,0.09,4.99
Tidalis,pc,2,4.58,0.09,4.99
Sacraboar,pc,2,8.25,0.09,8.99
Stronghold HD,pc,2,5.5,0.09,5.99
Stronghold HD,pc,2,5.5,0.09,5.99
Stronghold HD,pc,2,5.5,0.09,5.99
Serious Sam 3: BFE,pc,2,36.69,0.09,39.99
Altitude,pc,2,0.0,0.09,0.0
Doom Rails,pc,2,2.74,0.09,2.99
War of the Roses,pc,2,0.0,0.09,0.0
DogFighter,pc,2,2.74,0.09,2.99
Singularity(tm),pc,2,27.51,0.09,29.99
Magicka,pc,2,9.17,0.09,9.99
The Kings Crusade,pc,2,9.17,0.09,9.99
Victoria II,pc,2,4.58,0.09,4.99
Victoria I Complete,pc,2,2.28,0.09,2.49
Super Laser  Racer,pc,2,4.58,0.09,4.99
Galcon Fusion,pc,2,9.17,0.09,9.99
F1 2010(tm),pc,2,9.17,0.09,9.99
GRID 2,pc,2,27.51,0.09,29.99
F1 2011,pc,2,13.75,0.09,14.99
RACE Injection,pc,2,11.92,0.09,12.99
GT Legends,pc,2,7.33,0.09,7.99
Sol Survivor,pc,2,9.17,0.09,9.99
Ignite,pc,2,9.17,0.09,9.99
Clickr,pc,2,4.58,0.09,4.99
Dead Rising(r) 2,pc,2,18.34,0.09,19.99
Lost Planet(r) 2,pc,2,18.34,0.09,19.99
Theatre of War,pc,2,3.66,0.09,3.99
Future Wars,pc,2,4.58,0.09,4.99
Trapped Dead,pc,2,3.43,0.09,3.74
Swarm Arena,pc,2,4.58,0.09,4.99
Dimensity,pc,2,9.17,0.09,9.99
Armada 2526,pc,2,13.75,0.09,14.99
Stronghold 3 Gold,pc,2,27.51,0.09,29.99
Stronghold Kingdoms,pc,1,0.0,0.09,0.0
Puzzle Quest 2,pc,2,9.17,0.09,9.99
Dead Space(tm) 2,pc,2,18.34,0.09,19.99
Medal of Honor(tm),pc,2,18.34,0.09,19.99
RISK(tm): Factions,pc,2,9.17,0.09,9.99
Medal of Honor(tm),pc,2,18.34,0.09,19.99
Shift 2 Unleashed,pc,2,18.34,0.09,19.99
Anno 2070(tm),pc,2,18.34,0.09,19.99
Greed Corp,pc,2,9.17,0.09,9.99
Beat Hazard,pc,2,9.17,0.09,9.99
Plain Sight,pc,2,4.58,0.09,4.99
Spec Ops: The Line,pc,2,27.51,0.09,29.99
Air Forte,pc,2,9.17,0.09,9.99
Atom Zombie Smasher,pc,2,9.17,0.09,9.99
Homefront,pc,2,4.58,0.09,4.99
MX vs. ATV Reflex,pc,2,18.34,0.09,19.99
Duke Nukem Forever,pc,2,18.34,0.09,19.99
ProtoGalaxy,pc,2,0.0,0.09,0.0
Power of Defense,pc,2,9.17,0.09,9.99
Critter Crunch,pc,2,6.41,0.09,6.99
HOARD,pc,2,9.17,0.09,9.99
Monday Night Combat,pc,2,4.58,0.09,4.99
Monday Night Combat,pc,2,4.58,0.09,4.99
Sniper Elite V2,pc,2,27.51,0.09,29.99
Delve Deeper,pc,2,4.58,0.09,4.99
Fantasy Wars,pc,2,4.58,0.09,4.99
Men of War: Vietnam,pc,2,7.33,0.09,7.99
Archon Classic,pc,2,9.17,0.09,9.99
Take On Helicopters,pc,2,18.34,0.09,19.99
ARMA: Gold Edition,pc,2,9.17,0.09,9.99
Dungeon Defenders,pc,2,13.75,0.09,14.99
Dino D-Day,pc,2,9.17,0.09,9.99
Star Ruler,pc,2,13.75,0.09,14.99
Evochron Mercenary,pc,2,18.34,0.09,19.99
Golden Axe(tm) II,pc,2,2.74,0.09,2.99
Virtua Fighter(tm) 2,pc,2,2.74,0.09,2.99
Gunstar Heroes,pc,2,2.74,0.09,2.99
Sonic 3 and Knuckles,pc,2,4.58,0.09,4.99
Sonic the Hedgehog 2,pc,2,4.58,0.09,4.99
Streets of Rage,pc,2,2.74,0.09,2.99
Streets of Rage 2,pc,2,2.74,0.09,2.99
ToeJam & Earl,pc,2,4.58,0.09,4.99
Clones,pc,2,9.17,0.09,9.99
Majesty 2 Collection,pc,2,18.34,0.09,19.99
Defenders of Ardania,pc,2,9.17,0.09,9.99
Pride of Nations,pc,2,18.34,0.09,19.99
Sengoku,pc,2,9.17,0.09,9.99
APOX,pc,2,13.75,0.09,14.99
